# golden_strong_pos_trace - per-frame reference output for Stage 1a
# STRONG POSITIVE (exact platform): p7_flyby seed=1150916893 snr=+6dB bed=wind_gusty f0=463.0Hz; flips at 2.650
# config: {"fs": 16000, "n_fft": 2048, "hop": 512, "f_search_lo": 70.0, "f_search_hi": 2000.0, "f_step": 1.0, "f_alert_lo": 200.0, "f_alert_hi": 2000.0, "f_prio_lo": 200.0, "f_prio_hi": 800.0, "thr_off_prio": 0.0, "thr_off_gen": 0.0, "n_harm_max": 12, "n_harm_min": 4, "f_max_harm": 7800.0, "floor_mode": "tonality", "tau_rise_s": 6.0, "tau_fall_s": 0.8, "tau_rise_fast_s": 1.5, "tau_energy_s": 4.0, "gate_ratio": 1.35, "flat_hi": 0.7, "minstat_frames": 48, "minstat_sub": 4, "minstat_bias": 5.5, "sat_log": 2.5, "reanchor": false, "reanchor_margin": 0.15, "reanchor_min_tooth": 0.7, "reanchor_depth": 2, "min_teeth": 0, "teeth_level": 0.5, "max_jitter": 0.004, "t_warmup_s": 1.0, "track_need": 6, "track_miss": 2, "cont_frac": 0.02, "cont_min_hz": 12.0}
# threshold: 2.140000   events: 1   VERDICT: FIRES
# peak score 2.988102   longest chain 67/6
# chain is the counter AFTER the frame; fired is 1 while an event is
# latched. floor_fast/f0_raw_hz/reanch are v2 state - match the whole
# TRAJECTORY, not just the verdict.
# n_held_bins: comb-hold was MEASURED AND REJECTED in the final Stage 0 run; it is 0 on every frame. The column is fixed in the format so firmware need not branch.
frame,t_s,score,f0_bin,f0_hz,f0_raw_hz,teeth,floor_fast,reanch,n_held_bins,above_thr,cont_accepted,chain,fired
116,3.840000,1.906219,418,488.0,488.0,12,0,0,0,0,0,0,0
117,3.872000,2.000044,418,488.0,488.0,12,0,0,0,0,0,0,0
118,3.904000,1.654738,416,486.0,486.0,12,0,0,0,0,0,0,0
119,3.936000,2.277146,416,486.0,486.0,11,0,0,0,1,1,1,0
120,3.968000,1.929346,417,487.0,487.0,12,0,0,0,0,0,0,0
121,4.000000,1.843001,417,487.0,487.0,12,0,0,0,0,0,0,0
122,4.032000,1.975589,416,486.0,486.0,12,0,0,0,0,0,0,0
123,4.064000,2.257643,415,485.0,485.0,12,0,0,0,1,1,1,0
124,4.096000,2.239935,415,485.0,485.0,12,0,0,0,1,1,2,0
125,4.128000,2.223067,414,484.0,484.0,12,0,0,0,1,1,3,0
126,4.160000,2.131124,411,481.0,481.0,12,0,0,0,0,0,1,0
127,4.192000,1.932291,412,482.0,482.0,11,0,0,0,0,0,0,0
128,4.224000,2.452581,412,482.0,482.0,12,0,0,0,1,1,1,0
129,4.256000,2.430409,410,480.0,480.0,12,0,0,0,1,1,2,0
130,4.288000,1.909538,411,481.0,481.0,11,0,0,0,0,0,0,0
131,4.320000,1.997039,408,478.0,478.0,12,0,0,0,0,0,0,0
132,4.352000,2.494036,408,478.0,478.0,12,0,0,0,1,1,1,0
133,4.384000,2.376978,407,477.0,477.0,12,0,0,0,1,1,2,0
134,4.416000,2.574444,406,476.0,476.0,12,0,0,0,1,1,3,0
135,4.448000,2.386717,405,475.0,475.0,12,0,0,0,1,1,4,0
136,4.480000,2.217752,405,475.0,475.0,12,0,0,0,1,1,5,0
137,4.512000,2.501286,405,475.0,475.0,12,0,0,0,1,1,6,1
138,4.544000,2.257724,402,472.0,472.0,12,0,0,0,1,1,7,1
139,4.576000,2.388403,401,471.0,471.0,12,0,0,0,1,1,8,1
140,4.608000,2.548321,400,470.0,470.0,12,0,0,0,1,1,9,1
141,4.640000,2.494120,401,471.0,471.0,12,0,0,0,1,1,10,1
142,4.672000,2.260030,399,469.0,469.0,12,0,0,0,1,1,11,1
143,4.704000,2.849595,399,469.0,469.0,12,0,0,0,1,1,12,1
144,4.736000,2.816012,397,467.0,467.0,12,0,0,0,1,1,13,1
145,4.768000,2.163094,397,467.0,467.0,12,0,0,0,1,1,14,1
146,4.800000,2.413836,395,465.0,465.0,12,0,0,0,1,1,15,1
147,4.832000,2.479586,395,465.0,465.0,12,0,0,0,1,1,16,1
148,4.864000,1.888803,395,465.0,465.0,12,0,0,0,0,0,14,1
149,4.896000,2.507013,394,464.0,464.0,12,0,0,0,1,1,15,1
150,4.928000,2.351714,391,461.0,461.0,12,0,0,0,1,1,16,1
151,4.960000,2.366695,391,461.0,461.0,12,0,0,0,1,1,17,1
152,4.992000,2.226011,390,460.0,460.0,10,0,0,0,1,1,18,1
153,5.024000,2.074842,389,459.0,459.0,12,0,0,0,0,0,16,1
154,5.056000,2.427337,389,459.0,459.0,12,0,0,0,1,1,17,1
155,5.088000,2.709333,388,458.0,458.0,12,0,0,0,1,1,18,1
156,5.120000,2.650791,388,458.0,458.0,12,0,0,0,1,1,19,1
157,5.152000,2.740811,386,456.0,456.0,12,0,0,0,1,1,20,1
158,5.184000,2.656209,386,456.0,456.0,12,0,0,0,1,1,21,1
159,5.216000,2.786365,386,456.0,456.0,12,0,0,0,1,1,22,1
160,5.248000,2.659068,385,455.0,455.0,12,0,0,0,1,1,23,1
161,5.280000,2.358014,383,453.0,453.0,12,0,0,0,1,1,24,1
162,5.312000,2.977066,382,452.0,452.0,12,0,0,0,1,1,25,1
163,5.344000,2.489598,383,453.0,453.0,12,0,0,0,1,1,26,1
164,5.376000,2.653188,383,453.0,453.0,12,0,0,0,1,1,27,1
165,5.408000,2.173594,382,452.0,452.0,12,0,0,0,1,1,28,1
166,5.440000,2.421766,380,450.0,450.0,12,0,0,0,1,1,29,1
167,5.472000,2.424029,381,451.0,451.0,12,0,0,0,1,1,30,1
168,5.504000,2.437319,379,449.0,449.0,12,0,0,0,1,1,31,1
169,5.536000,2.394796,379,449.0,449.0,12,0,0,0,1,1,32,1
170,5.568000,2.130737,378,448.0,448.0,11,0,0,0,0,0,30,1
171,5.600000,2.433948,377,447.0,447.0,12,0,0,0,1,1,31,1
172,5.632000,2.441914,377,447.0,447.0,12,0,0,0,1,1,32,1
173,5.664000,2.549889,375,445.0,445.0,11,0,0,0,1,1,33,1
174,5.696000,2.473375,376,446.0,446.0,12,0,0,0,1,1,34,1
175,5.728000,2.395328,376,446.0,446.0,12,0,0,0,1,1,35,1
176,5.760000,2.650447,375,445.0,445.0,12,0,0,0,1,1,36,1
177,5.792000,2.988102,374,444.0,444.0,12,0,0,0,1,1,37,1
178,5.824000,2.793431,374,444.0,444.0,12,0,0,0,1,1,38,1
179,5.856000,2.644701,374,444.0,444.0,12,0,0,0,1,1,39,1
180,5.888000,2.381612,371,441.0,441.0,12,0,0,0,1,1,40,1
181,5.920000,2.401337,372,442.0,442.0,11,0,0,0,1,1,41,1
182,5.952000,2.611151,371,441.0,441.0,12,0,0,0,1,1,42,1
183,5.984000,2.502828,371,441.0,441.0,12,0,0,0,1,1,43,1
184,6.016000,2.631856,371,441.0,441.0,11,0,0,0,1,1,44,1
185,6.048000,2.407568,369,439.0,439.0,12,0,0,0,1,1,45,1
186,6.080000,2.395424,371,441.0,441.0,12,0,0,0,1,1,46,1
187,6.112000,2.486397,368,438.0,438.0,11,0,0,0,1,1,47,1
188,6.144000,2.395693,369,439.0,439.0,11,0,0,0,1,1,48,1
189,6.176000,2.201001,364,434.0,434.0,12,0,0,0,1,1,49,1
190,6.208000,2.304828,368,438.0,438.0,12,0,0,0,1,1,50,1
191,6.240000,2.487772,369,439.0,439.0,12,0,0,0,1,1,51,1
192,6.272000,2.195501,369,439.0,439.0,11,0,0,0,1,1,52,1
193,6.304000,1.912639,367,437.0,437.0,11,0,0,0,0,0,50,1
194,6.336000,2.210289,367,437.0,437.0,12,0,0,0,1,1,51,1
195,6.368000,2.550643,367,437.0,437.0,11,0,0,0,1,1,52,1
196,6.400000,2.741335,367,437.0,437.0,12,0,0,0,1,1,53,1
197,6.432000,2.424924,367,437.0,437.0,12,0,0,0,1,1,54,1
198,6.464000,2.220123,366,436.0,436.0,12,0,0,0,1,1,55,1
199,6.496000,2.220552,367,437.0,437.0,12,0,0,0,1,1,56,1
200,6.528000,2.506628,366,436.0,436.0,12,0,0,0,1,1,57,1
201,6.560000,2.229341,366,436.0,436.0,11,0,0,0,1,1,58,1
202,6.592000,2.280554,365,435.0,435.0,12,0,0,0,1,1,59,1
203,6.624000,2.564155,365,435.0,435.0,12,0,0,0,1,1,60,1
204,6.656000,2.297070,366,436.0,436.0,10,0,0,0,1,1,61,1
205,6.688000,2.143112,364,434.0,434.0,10,0,0,0,1,1,62,1
206,6.720000,2.477847,364,434.0,434.0,12,0,0,0,1,1,63,1
207,6.752000,2.540859,364,434.0,434.0,12,0,0,0,1,1,64,1
208,6.784000,2.329669,364,434.0,434.0,10,0,0,0,1,1,65,1
209,6.816000,2.342678,364,434.0,434.0,11,0,0,0,1,1,66,1
210,6.848000,2.146607,364,434.0,434.0,11,0,0,0,1,1,67,1
211,6.880000,2.047546,364,434.0,434.0,12,0,0,0,0,0,65,1
